date,title,link,first_paragraph,publish_location,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,PESTLE,source
2025-03-10,BSI erweitert kryptographische Empfehlungen mit Blick auf Quantencomputer,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250310_Aktualisierung_TR-02102.html,"Quantencomputersind in greifbare Nähe gerückt und stellen eine ernstzunehmende Bedrohung für heutige Daten mit erhöhtem Schutzbedarf dar. Langfristig schützenswerte Daten könnten bereits heute gespeichert werden, um sie später mit Hilfe eines Quantencomputers zu entschlüsseln – nach dem Motto ""Store now, decrypt later"". Bislang eingesetzte asymmetrische Kryptographie wieRSAoderECCbietet keinen ausreichenden Schutz vor Angriffen mit Quantencomputern. Daher hat das Bundesamt für Sicherheit in der Informationstechnik (BSI) in der diesjährigen Version derTR-02102 „Kryptographische Verfahren: Empfehlungen und Schlüssellängen“insbesondere die Empfehlungen zur Post-Quanten-Kryptographie aktualisiert.",Bonn,Quantencomputer, Bedrohung, Daten, Kryptographie, Empfehlungen,legal,BSI
2025-02-27,Drohnen als neue Cyberbedrohung - Wie Unternehmen sich schützen können,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250227_Drohnen_Cyberbedrohung.html,Das Bundesamt für Sicherheit in der Informationstechnik (BSI) stellt eine wachsende Bedrohung durch den Einsatz von Drohnen fest.,Bonn,Drohnen, Cyberbedrohung, Unternehmen, schützen, BSI,technological,BSI
2025-02-24,Cyberresilienz stärken: Perspektive für robuste Windows-Architekturen,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250224_Perspektiven_Windows-Architekturen.html,"Nach den weltweiten Computerstörungen, die im Sommer 2024 durch ein fehlerhaftes Update einerCybersicherheitslösung verursacht wurden, haben das Bundesamt für Sicherheit in der Informationstechnik (BSI),CrowdstrikeundMicrosoftden Vorfall gemeinsam aufgearbeitet. Auf einer vomBSIinitiierten Veranstaltung mit verschiedenen Anbietern von Lösungen zurCyber-Angriffserkennung und -abwehr (Endpoint Detection and Response) wurden die Maßnahmen erörtert, dieCrowdstrikeundMicrosoftinfolge der Störungen ergriffen haben.",Bonn,Cyberresilienz, Windows-Architekturen, Crowdstrike, Microsoft, BSI,technological,BSI
2025-02-21,Wechsel an der BSI-Spitze: Vizepräsident Gerhard Schabhüser übergibt an Thomas Caspers,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250221_Wechsel_BSI-Spitze.html,"Im Rahmen einer Feierstunde wurde der Vizepräsident des Bundesamtes für Sicherheit in der Informationstechnik (BSI),Dr.Gerhard Schabhüser, aus seinem Amt verabschiedet, das er seit 2017 innehatte. Sein Nachfolger wird Thomas Caspers.",Bonn,Wechsel, BSI-Spitze, Vizepräsident, Gerhard Schabhüser, Thomas Caspers,political,BSI
2025-02-19,BSI veröffentlicht IT-Grundschutz-Profil für kleine und mittlere Flughäfen,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250219_IT_Grundschutz_kleine_mittlere_Flughaefen.html,"Das Bundesamt für Sicherheit in der Informationstechnik (BSI) hat einIT-Grundschutz-Profil für kleine und mittlere Flughäfenveröffentlicht, das in Zusammenarbeit mit Expertinnen und Experten für die zivile Luftfahrt in einem Arbeitskreis erstellt wurde. Es dient als Empfehlung und Handreichung, die Flughafenbetreibern eine wirkungsvolle Umsetzung einesIT-Sicherheitskonzepts ermöglicht. Zur Erstellung gemeinsamer Mindestanforderungen im Sinne einer Erhöhung der Resilienz bei kleinen und mittleren Flughäfen hatte der Arbeitskreis eineWorkshop-Reihe veranstaltet, aus der in einem ersten Schritt das vorliegendeIT-Grundschutz-Profil hervorging. Es enthält Empfehlungen für eine Mindestabsicherung kleiner und mittlerer Flughäfen in der Bundesrepublik Deutschland.",Bonn,BSI, IT-Grundschutz-Profil, Flughäfen, IT-Sicherheitskonzepts, Mindestanforderungen,technological,BSI
2025-02-15,Münchner Sicherheitskonferenz: Was macht KI mit unserer Demokratie?,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250215_MSC_KI_Demokratie.html,"Auf der Münchner Sicherheitskonferenz diskutierte Claudia Plattner mit Technologie-Expertinnen und -Experten darüber, wie sich der zunehmende Einsatz vonKIauf die demokratische Meinungsbildung auswirkt.Welche Rolle spieltKIin geopolitischen Konfliktlagen? Wie können algorithmische Verzerrungen politische Diskurse und Wahlen beeinflussen und inwieweit mussKIdurch Regulierung eingehegt werden? Diese und weitere Fragen besprach Claudia Plattner, Präsidentin des Bundesamtes für Sicherheit in der Informationstechnik (BSI), im Rahmen der Münchner Sicherheitskonferenz mit Henna Virkkunen,EU-Vizekommissionspräsidentin fürTech Sovereignty, Security and Democracy,Kent Walker,President Global Affairs bei Google, und Amba Kak,Co-Executive Director des AI Now Institute.Gina Neff,Executive Director des Minderoo Centre for Technology and Democracy an der Universität Cambridge, moderierte die Diskussion.BSI-Präsidentin Claudia Plattner verwies auf die Interdependenz von Technologie und politischer wie wirtschaftlicher Stärke und betonte, dass gesetzliche Regulierung von Künstlicher Intelligenz nicht den technologischen Fortschritt verlangsamen dürfe:„Wir müssen einen wirksamen regulatorischen Rahmen schaffen, der es uns ermöglicht, vom Fortschritt derKIzu profitieren. Das Erreichen dieses Gleichgewichts ist für unsere Demokratie von entscheidender Bedeutung. Wir müssen mit technologischen Innovationen Schritt halten, um wirtschaftlich erfolgreich zu sein und die Herausforderungen unserer Zeit zu meistern. Die Geschwindigkeit, mit der wir unsere digitalen Fähigkeiten weiterentwickeln, wird über unsere Zukunft entscheiden.In diesem Zusammenhang sprechen wir vom Aufkommen einer dritten Dimension, die zu den beiden traditionellen Dimensionen - Wirtschaft und Sicherheit - hinzukommt. Diese dritte Dimension ist die Technologie, und sie hat einen erheblichen Einfluss auf die beiden anderen. Sie erweitert die Schnittmenge zwischen den beiden ersten. So wirdKIzur Verbesserung von Geschäftsprozessen ebenso wie bei der Entwicklung von Drohnen eingesetzt. Das zeigt die enorme Bedeutung von technologischer Expertise und Kompetenz in Verbindung mit militärischer und wirtschaftlicher Stärke. Der Weg nach vorne erfordert ein umfassendes Verständnis von Technologie und ihrer strategischen Anwendung.“Eine Aufzeichnung der englischsprachigen Diskussion istauf der Seite der Münchner Sicherheitskonferenzverfügbar.Die skizzierten Zusammenhänge zwischen Wirtschaft, Sicherheit und Digitalisierung erläutert Claudia Plattner zudem in einemGastbeitrag aufLinkedIn, sowie in derTageszeitung „Rheinische Post“.",München,KI, Demokratie, Regulierung, Technologie, Sicherheit,political,BSI
2025-02-12,BSI auf der E-world energy & water 2025: Sichere Digitalisierung als Schlüssel zur Energiewende,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250212_E-World_Zertifikatsuebergabe.html,"Bereits zum 12. Mal ist das Bundesamt für Sicherheit in der Informationstechnik (BSI) mit einem eigenen Messestand auf der europäischen Fachmesse „E-world energy & water“ in Essen vertreten. Diese ist mit über 960 ausstellenden Unternehmen, Institutionen und Verbänden aus 30 Nationen und rund 30.000 erwarteten Besuchern der größte jährliche Treffpunkt für die europäische Energiebranche.",Bonn,BSI, Digitalisierung, Energiewende, E-world energy & water, Sicherheit,technological,BSI
2025-02-12,Sextortion: Erpressung mit intimen Aufnahmen nimmt auch unter Kindern und Jugendlichen zu,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250212_Valentinstag_Sextortion.html,"Täterinnen und Täter nutzen intime Aufnahmen ihrer Opfer, um diese zu erpressen. Das Bundesamt für Sicherheit in der Informationstechnik (BSI) und das Programm Polizeiliche Kriminalprävention der Länder und des Bundes (ProPK) möchten am 14. Februar für Fälle sensibilisieren, in denenDating-Plattformen,Online-Chats& Co. zur Gefahr werden können.",Bonn/Stuttgart,Erpressung, intimen Aufnahmen, Opfer, sensibilisieren, Gefahr,social,BSI
2025-02-11,Cybersicherheit in Bund und Ländern: BSI und Hamburg vereinbaren Kooperation,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250211_Kooperationsvereinbarung_Hamburg.html,"Das Bundesamt für Sicherheit in der Informationstechnik (BSI) und die Freie und Hansestadt Hamburg arbeiten im Bereich der Cybersicherheit künftig enger zusammen. Eine entsprechende Vereinbarung habenBSI-VizpräsidentDr.Gerhard Schabhüser und Jan Pörksen, Staatsrat und Chef der Senatskanzlei, und Christian Pfromm, Leiter des Amtes fürITund Digitalisierung der Senatskanzlei Hamburg, am 7. Februar im Hamburger Rathaus unterzeichnet.",Bonn,Cybersicherheit, BSI, Kooperation, Hamburg, Vereinbarung,technological,BSI
2025-02-10,Safer Internet Day: BSI und DsiN räumen mit Mythen zu E-Mail-Sicherheit auf,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250210_Safer_Internet_Day_E-Mail_Mythen.html,"Ein digitaler Alltag ohne E-Mails ist für die meisten kaum vorstellbar. Das kann jedoch auch Gefahren bergen – nicht nur, weil das E-Mail-Postfach ein beliebtes Ziel von z.B.Phishing-Angriffen ist. Das Bundesamt für Sicherheit in der Informationstechnik (BSI) und Deutschland sicher im Netz (DsiN) möchten daher gemeinsam darüber aufklären, wie Verbraucherinnen und VerbraucherE-Mailssicher nutzen können. ZumSafer Internet Day(SID) nehmen sieMythen rund um die Sicherheit von E-Mail-Kommunikationunter die Lupe. DerSafer Internet Dayist ein Aktionstag rund um den sicheren Umgang mit digitalen Medien.",Bonn/Berlin,Safer Internet Day, BSI, DsiN, E-Mail-Sicherheit, Phishing-Angriffe,technological,BSI
2025-01-31,Passwortwechseln war gestern: Wie Verbraucherinnen und Verbraucher ihre Benutzerkonten absichern können,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250131_Passwortwechsel_next-level.html,"Am 1. Februar ist Ändere-dein-Passwort-Tag. Die Idee: Für den Fall, dass ein Passwortz.B.unbemerkt in einem Datenleck enthalten war, sollen Verbraucherinnen und Verbraucher ihre Passwörter vorsorglich ändern. Tatsächlich ist dieser Ratschlag jedoch überholt. Regelmäßige, anlassunabhängige Passwortwechsel führen erfahrungsgemäß dazu, dass zunehmend schwächere Passwörter genutzt werden. Sie sollten auch durch Dritte, etwa durch Arbeitgeberinnen und Arbeitgeber, nicht gefordert oder technisch erzwungen werden. Das Bundesamt für Sicherheit in der Informationstechnik (BSI) empfiehlt stattdessen, zusätzlich zu starken Passwörtern dieZwei-Faktor-Authentisierungzu aktivieren oder ganz aufPasskeysumzusteigen.",Bonn,Passwortwechseln, Verbraucherinnen, Benutzerkonten, Datenleck, Passkey,technological,BSI
2025-01-30,Cybersicherheit mit der Radio Equipment Directive (RED) - Wichtige Neuerungen für Herstellende und Verbrauchende,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250130_RED_Cybersicherheit.html,"Für mit dem Internet verbundene Geräte, die über eine Funkschnittstelle wieBluetoothoderWiFiverfügen, gelten bald klare Cybersicherheitsregeln. Ab dem 1. August 2025 wird einCE-Kennzeichen deutlich machen, dass die betroffenen Geräte auch grundlegende Cybersicherheitsanforderungen zum Schutz von Netzwerken, der Privatsphäre und vor Betrug erfüllen. Herstellende müssen dazu diese rechtlich verbindlichen Cybersicherheitsanforderungen umsetzen, um ihre Geräte auf dem europäischen Binnenmarkt verkaufen zu dürfen. Die verbindlichen Cybersicherheitsanforderungen wurden in harmonisierten Normen ausspezifiziert und mit Prüfkriterien belegt, womit der Konformitätsnachweis vereinfacht wird. An der Entwicklung der Normen war das Bundesamt für Sicherheit in der Informationstechnik (BSI) maßgeblich beteiligt. Inhaltlich enthalten die Normen unter anderem die Absicherung vertraulicher Kommunikation durch das Gerät sowie das Vorhandensein einesUpdate-Mechanismus.",Bonn,Cybersicherheit, Radio Equipment Directive, Herstellende, Verbrauchende, CE-Kennzeichen,technological,BSI
2025-01-28,Künstliche Intelligenz im Alltag: Was Verbraucherinnen und Verbraucher wissen sollten,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250127_KI-im-Alltag.html,Ob bei der Recherche mithilfe eines Sprachmodells oder beim Entsperren desSmartphonesper Gesichtserkennung: Künstliche Intelligenz (KI) unterstützt viele Menschen im Alltag. Für Verbraucherinnen und Verbraucher stellt das Bundesamt für Sicherheit in der Informationstechnik (BSI) daher niedrigschwellige Informationen zu Sicherheitsrisiken und Schutzmaßnahmen bereit – unter anderem in einem „Wegweiser für den digitalen Alltag“ und imPodcast„Updateverfügbar“.,Bonn,Künstliche Intelligenz, Verbraucherinnen, Verbraucher, Sicherheitsrisiken, Schutzmaßnahmen,technological,BSI
2025-01-21,Erste quantensichere Smartcard zertifiziert,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250121_erste_quantensichere_Smartcard.html,"Zertifizierte SmartCards bieten Nutzerinnen und Nutzern überprüfte und somit vertrauenswürdige Sicherheitsfunktionalität und Kryptographie. Sie werden insbesondere da genutzt, wo hohe Sicherheitsanforderungen gelten. Dazu zählen Personalausweise, Gesundheitskarten, Kreditkarten oder auchSIM-Karten für Mobiltelefone. Nun konnte das Bundesamt für Sicherheit in der Informationstechnik (BSI) erstmals eineSmartCardzertifizieren, die einen Post-Quanten-kryptografischen (PQC) Algorithmus implementiert hat. Das weltweit ersteCommon Criteria-Sicherheitszertifikatfür eine konkrete Implementierung des neuen PQC-VerfahrensML-KEMauf einerSmartcardwurde dem HerstellerInfineon TechnologiesAGerteilt.",Bonn,quantensichere, Smartcard, zertifiziert, Kryptographie, Sicherheitsfunktionalität,technological,BSI
2024-12-19,Gestiegene Nachfrage: BSI beschleunigt Zertifizierungsverfahren für IT-Sicherheitsdienstleister,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2024/241219_Zertifizierung_IT-Sicherheitsdienstleister.html,Vor dem Hintergrund einer nachhaltigangespanntenCyberbedrohungslageist in Deutschland nicht nur die Nachfrage nachIT-Sicherheitsfachkräften gewachsen; auch der Bedarf anBSI-zertifiziertenIT-Sicherheitsdienstleistern ist 2024 gestiegen. Das Bundesamt für Sicherheit in der Informationstechnik (BSI) hat das zugehörige Zertifizierungsverfahren modernisiert und erreicht damit eine signifikante Effizienzsteigerung: Die Verfahren dauern ab 2025 nur noch wenige Wochen im Vergleich zu bisher einigen Monaten.,Bonn,Nachfrage, BSI, Zertifizierungsverfahren, IT-Sicherheitsdienstleister, Cyberbedrohungslage,technological,BSI
2024-12-16,Thomas Caspers wird neuer Vizepräsident des BSI,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2024/241216_Thomas_Caspers_neuer_Vizepraesident.html,"Ende Februar 2025 wirdDr.Gerhard Schabhüser planmäßig aus seinem Amt als Vizepräsident des Bundesamts für Sicherheit in der Informationstechnik (BSI) ausscheiden. Sein Nachfolger wird Thomas Caspers, er tritt sein Amt am 1. März 2025 an.",Bonn,Thomas Caspers, Vizepräsident, BSI, Gerhard Schabhüser, Amt,political,BSI
2024-12-12,TeamBSI: Mitarbeiterin gewinnt GlobalPlatform Star Award,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2024/241212_GlobalPlatform_Star_Award.html,"Eine Mitarbeiterin des #TeamBSIwurde mit demGlobalPlatform Star Awardin der Kategorie „Making it happen“ ausgezeichnet.GlobalPlatformist eine konsensorientierteNon-Profit-Organisation, die internationale technische Standards fürSecure Elementsbzw.Hardwaresicherheitsanker definiert. Als Mitglied vonGlobalPlatformbeteiligt sich dasBSIaktiv an internationalen Standardisierungsaktivitäten. Die Auszeichnung würdigt die Arbeiten am „GlobalPlatform Card Specification Amendment N – Cryptographic Service Provider(CSP)“.",Bonn,GlobalPlatform, TeamBSI, Mitarbeiterin, Star Award, Standardisierungsaktivitäten,technological,BSI
2024-12-12,BSI weist auf vorinstallierte Schadsoftware auf IoT-Geräten hin,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2024/241212_Badbox_Sinkholing.html,"Digitale Bilderrahmen oderMediaplayer, die mit dem Internet verbunden werden: Derartige Geräte können mit Schadsoftwareinfiziert werden und sind daher immer häufiger Ziel vonCyberkriminellen. Das Bundesamt für Sicherheit in der Informationstechnik (BSI) hat nun bei bis zu 30.000 solcher Geräte in Deutschland die Kommunikation zwischen der SchadsoftwareBadBoxund den Tätern unterbunden. All diesen Geräten ist gemein, dass sie über veralteteAndroid-Versionen verfügen und mit vorinstallierter Schadsoftwareausgeliefert wurden.",Bonn,BSI, Schadsoftware, IoT-Geräte, Cyberkriminellen, Android-Versionen,technological,BSI
2024-12-11,Cyber Resilience Act: BSI bewirbt sich um Marktaufsicht für vernetzte Produkte,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2024/241211_Inkrafttreten-CRA.html,"Am heutigen Tag ist die europäische Regulierung Cyber Resilience Act (CRA) in Kraft getreten. Diese gesetzliche Neuerung gibt ein Mindestmaß an Cybersicherheit für vernetzte Produkte auf demEU-Markt vor. Hersteller haben nun 36 Monate Zeit, ihre Produkte an die neuen Anforderungen anzupassen.",Bonn,Cyber Resilience Act, BSI, Marktaufsicht, vernetzte Produkte, Cybersicherheit,legal,BSI
